0,69,54,71,16,2,44,101,1,60,3,15,45,201,65,4,66,7,14,8,67,9,10,12,13,50,68,
43,"910,036",English,"193,259",ontology,"1,334",,association,"1,001,015","5,091",can be a realization of a,"1,231",,conceptual association,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
279,"910,036",English,"193,259",ontology,"5,430",,auxiliary to an individual thing,"1,025,043","5,091",can be a realization of a,"5,426",,conceptual being auxiliary to an individual thing,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
286,"910,036",English,"193,259",ontology,"5,453",,begin of an occurrence,"1,025,032","5,091",can be a realization of a,"5,104",,conceptual beginner of an occurrence,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
20,"910,036",English,"193,259",ontology,"1,227",,being an element in a collection of individual things,"1,006,364","5,091",can be a realization of a,"1,228",,conceptual collection of an individual thing,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
290,"910,036",English,"193,259",ontology,"5,762",,being bounded by a physical object,"1,025,142","5,091",can be a realization of a,"5,769",,conceptually being bounded by a physical object,,,,,,accepted,,2011-02-08,2011-02-08,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
278,"910,036",English,"193,259",ontology,"5,386",,being designer of a physical object,"1,025,064","5,091",can be a realization of a,"5,514",,conceptual requirement for being designer of a physical object,,,,,,accepted,,2006-09-28,2006-09-28,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
290,"910,036",English,"193,259",ontology,"5,625",,being driver of a physical object,"1,025,137","5,091",can be a realization of a,"5,626",,conceptual driver of a physical object,,,,,,accepted,,2011-02-08,2011-02-08,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
283,"910,036",English,"193,259",ontology,"5,448",,being in state,"1,025,020","5,091",can be a realization of a,"4,934",,conceptual being in state,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
177,"910,036",English,"193,259",ontology,"4,668",,being located relative to a physical object,"1,025,040","5,091",can be a realization of a,"5,362",,conceptually being located relative to a physical object,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
274,"910,036",English,"193,259",ontology,"5,268",,being made from raw material,"1,025,037","5,091",can be a realization of a,"5,266",,conceptually being made from raw material,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
290,"910,036",English,"193,259",ontology,"5,160",,being maker of a physical object,"1,025,134","5,091",can be a realization of a,"5,599",,conceptual maker of a physical object,,,,,,accepted,,2011-02-08,2011-02-08,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
280,"910,036",English,"193,259",ontology,"5,438",,being player of a role in an occurrence about a physical object,"1,001,006","5,091",can be a realization of a,"5,387",,conceptual requirement for a played role in an activity on a physical object,,,,,,accepted,,2005-06-20,2005-12-02,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
290,"910,036",English,"193,259",ontology,"5,590",,being product manager of a physical object,"1,025,131","5,091",can be a realization of a,"5,592",,conceptual product management of a physical object,,,,,,accepted,,2011-02-08,2011-02-08,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
290,"910,036",English,"193,259",ontology,"5,150",,being supplier of a physical object,"1,025,135","5,091",can be a realization of a,"5,600",,conceptual supplier of a physical object,,,,,,accepted,,2011-02-08,2011-02-08,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
204,"910,036",English,"193,259",ontology,"4,835",,bounding of an aspect,"1,025,029","5,091",can be a realization of a,"5,032",,conceptual bounding of an aspect,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
135,"910,036",English,"193,259",ontology,"1,773",,bounding of mathematical space,"1,006,427","5,091",can be a realization of a,"1,804",,conceptual bounding of mathematical space,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
187,"910,036",English,"193,259",ontology,"4,720",,carrying of information about a physical object,"1,001,009","5,091",can be a realization of a,"4,726",,conceptual carrier of information about an individual thing,,,,,,accepted,,2005-09-06,2006-10-30,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
145,"910,036",English,"193,259",ontology,"1,922",,cause of begin or end by occurrence,"1,025,059","5,091",can be a realization of a,"5,502",,conceptual cause of begin or end by occurrence,,,,,,accepted,,2006-08-28,2006-08-28,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
18,"910,036",English,"193,259",ontology,"1,199",,change of a state,"1,006,363","5,091",can be a realization of a,"1,550",,conceptual change of a state,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
299,"910,036",English,"191,745",modelling,"25,007",,class hierarchy,"1,025,108","1,146",is a specialization of,"25,008",,hierarchy,"that consists of kinds (classes) that are arranged in such a way that each kind is a subtype of a kind that is its supertype, exclusing the highest kind(s) in the arrangement. That highest kind(s) form the top of the hierarchy.","is a hierarchy that consists of kinds (classes) that are arranged in such a way that each kind is a subtype of a kind that is its supertype, exclusing the highest kind(s) in the arrangement. That highest kind(s) form the top of the hierarchy.",,,,accepted,,2007-10-02,2007-10-02,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
101,"910,036",English,"193,259",ontology,"1,728",,classification of a part of an individual thing,"1,025,001","5,091",can be a realization of a,"5,434",,conceptual classification of a part of an individual thing,,,,,,accepted,,2005-09-09,2005-09-09,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
102,"910,036",English,"193,259",ontology,"1,728",,classification of a part of an individual thing,"1,025,025","5,091",can be a realization of a,"5,003",,conceptual presence of an assembly of an individual thing,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
19,"910,036",English,"193,259",ontology,"1,225",,classification of an individual thing,"1,001,010","5,091",can be a realization of a,"4,991",,conceptual classification of an individual thing,,,,,Wider term 'conceptual classification of an individual' doesn't match earlier naming 'conceptual classification of an individual thing' of ID(4991) in,accepted,,2005-09-09,2005-11-03,Rob Moonen,Andries van Renssen,"1,044",facts about realization relations,
205,"910,036",English,"193,259",ontology,"4,843",,classification of any element in a collection,"1,025,028","5,091",can be a realization of a,"5,013",,conceptual classification of any element in a collection,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
124,"910,036",English,"193,259",ontology,"1,756",,comparison of a characteristic with a reference,"1,006,414","5,091",can be a realization of a,"1,851",,conceptual comparison of a characteristic with a reference,,,,,,accepted,,2002-02-28,2004-09-20,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
261,"910,036",English,"193,259",ontology,"5,128",,compliancy to a criterion,"1,001,044","5,091",can be a realization of a,"4,902",,conceptual compliancy to a criterion,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
290,"910,036",English,"193,259",ontology,"5,128",,compliancy to a criterion,"1,025,148","5,091",can be a realization of a,"5,804",,conceptual option for possible compliancy to a particular criterion,,,,,,accepted,,2011-04-28,2011-04-28,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
23,"910,036",English,"193,259",ontology,"1,258",,composition of a decomposition structure of an occurrence,"1,006,367","5,091",can be a realization of a,"1,259",,conceptual composition of a decomposition structure of an occurrence,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
65,"910,036",English,"193,259",ontology,"1,436",,composition of a physical object,"1,006,384","5,091",can be a realization of a,"1,437",,conceptual composition of a physical object,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
147,"910,036",English,"193,259",ontology,"1,979",,composition of a role ,"1,006,440","5,091",can be a realization of a,"1,978",,conceptual composition of a role,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
26,"910,036",English,"193,259",ontology,"1,262",,composition of an aspect,"1,006,369","5,091",can be a realization of a,"1,257",,conceptual composition of an aspect,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
21,"910,036",English,"193,259",ontology,"1,254",,composition of an occurrence,"1,006,365","5,091",can be a realization of a,"1,255",,conceptual composition of an occurrence,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
67,"910,036",English,"193,259",ontology,"1,438",,composition of decomposition structure of a physical object,"1,006,385","5,091",can be a realization of a,"1,435",,conceptual composition of decomposition structure of a physical object,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
115,"910,036",English,"193,259",ontology,"1,746",,composition of mathematical space,"1,006,410","5,091",can be a realization of a,"1,817",,conceptual composition of mathematical space,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
116,"910,036",English,"193,259",ontology,"1,750",,composition of mathematical space point approximation,"1,006,411","5,091",can be a realization of a,"1,818",,conceptual composition of point approximation of mathematical space,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
68,"910,036",English,"193,259",ontology,"1,439",,composition of route,"1,006,386","5,091",can be a realization of a,"1,405",,conceptual composition of route,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
110,"910,036",English,"193,259",ontology,"1,743",,composition of spatial aspect point approximation,"1,006,408","5,091",can be a realization of a,"1,819",,conceptual composition of spatial aspect point approximation,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
69,"910,036",English,"193,259",ontology,"1,441",,composition of topologic sequence structure of a physical object,"1,006,387","5,091",can be a realization of a,"1,816",,conceptual composition of topologic sequence structure,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
24,"910,036",English,"193,259",ontology,"1,260",,composition relation of an individual thing,"1,006,368","5,091",can be a realization of a,"1,261",,conceptual composition relation of an individual thing,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
243,"910,036",English,"193,259",ontology,"4,990",,concept,"1,025,055","5,111",shall be defined to be a subtype of a,"4,990",,concept,,,,,,accepted,,2005-12-05,2005-12-05,Andries van Renssen,Andries van Renssen,"1,042",requirements for the definition of a class,
244,"910,036",English,"193,259",ontology,"4,990",,concept,"1,025,056","5,413",shall be described by encoding as a,"911,620",,encoding aspect,,,,,,accepted,,2005-12-05,2005-12-05,Andries van Renssen,Andries van Renssen,"1,042",requirements for the definition of a class,
242,"910,036",English,"193,259",ontology,"4,990",,concept,"1,790,861","4,730",is an element in collection of concepts,"5,092",,the collection of Gellish classes,,,,,,accepted,,1998-07-24,2003-08-19,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
300,"910,036",English,"191,745",modelling,"25,007",,concept hierarchy,"1,025,109","1,981",is a synonym of,"25,007",,class hierarchy,,,,,,accepted,,2007-10-02,2007-10-02,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
222,"910,036",English,"193,259",ontology,"4,960",,condition for a consequence,"1,025,022","5,091",can be a realization of a,"4,972",,by definition being a condition for a consequence,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
83,"910,036",English,"193,259",ontology,"1,487",,connection relation,"1,001,018","5,091",can be a realization of a,"1,629",,conceptual connection with a physical object,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
84,"910,036",English,"193,259",ontology,"1,487",,connection relation,"1,006,390","5,091",can be a realization of a,"1,407",,conceptual connection relation,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
227,"910,036",English,"193,259",ontology,"4,966",,consequence on satisfied condition,"1,025,023","5,091",can be a realization of a,"4,976",,conceptual requirement for a consequence on satisfied condition,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
228,"910,036",English,"193,259",ontology,"4,969",,consequence on unsatisfied condition,"1,025,024","5,091",can be a realization of a,"4,979",,conceptual requirement for a consequence on unsatisfied condition,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
183,"910,036",English,"193,259",ontology,"4,692",,containment of an individual physical object,"1,025,021","5,091",can be a realization of a,"4,942",,conceptual containment of an individual thing,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
129,"910,036",English,"193,587",presentation,"1,764",,conversion of encoding aspect,"1,006,417","5,091",can be a realization of a,"1,914",,conceptual conversion of encoding aspect,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
137,"910,036",English,"193,259",ontology,"1,777",,coordinate in a coordinates point,"1,006,429","5,091",can be a realization of a,"1,801",,conceptual coordinate in a coordinates point,,,,,,accepted,,2002-02-28,2005-06-07,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
143,"910,036",English,"193,259",ontology,"1,876",,coordinates in a coordinate system,"1,001,023","5,091",can be a realization of a,"1,875",,conceptual coordinates in a coordinate system,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
178,"910,036",English,"191,874",physics,"4,679",,correlation,"1,006,586","5,091",can be a realization of a,"2,066",,conceptual correlation,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
128,"910,036",English,"193,259",ontology,"1,762",,correlation between time and state,"1,006,416","5,091",can be a realization of a,"1,551",,conceptual correlation between time and state,,,,,,accepted,,2002-02-28,2005-12-02,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
206,"910,036",English,"193,259",ontology,"4,862",,creation at a date,"1,025,018","5,091",can be a realization of a,"4,928",,conceptual creation at a date,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
95,"910,036",English,"193,259",ontology,"1,533",,custodianship,"1,025,027","5,091",can be a realization of a,"5,004",,conceptual custodianship,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
293,"910,036",English,"191,745",modelling,"25,003",,definition model,"1,025,102","1,146",is a specialization of,"25,001",,information model,that consists of a collection of relations between concepts by which a concept is defined.,is an information model that consists of a collection of relations between concepts by which a concept is defined.,,,,accepted,,2007-10-02,2007-10-02,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
28,"910,036",English,"193,259",ontology,"1,267",,denying relation,"1,006,370","5,091",can be a realization of a,"1,236",,conceptual denying relation,,,,,,accepted,,2002-02-28,2004-12-16,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
290,"910,036",English,"193,259",ontology,"5,588",,dependency between physical objects,"1,025,129","5,091",can be a realization of a,"5,597",,conceptual dependency between physical objects,,,,,,accepted,,2011-02-08,2011-02-08,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
30,"910,036",English,"193,259",ontology,"1,270",,derivation of a characteristic,"1,006,372","5,091",can be a realization of a,"1,271",,conceptual derivation of a characteristic,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
182,"910,036",English,"193,259",ontology,"4,682",,description of something,"1,001,020","5,091",can be a realization of a,"1,806",,conceptual description by an encoding aspect,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
85,"910,036",English,"193,259",ontology,"1,490",,destination of a route,"1,006,391","5,091",can be a realization of a,"1,409",,conceptual destination of a route,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
64,"910,036",English,"193,259",ontology,"1,427",,display of annotation element on information carrier,"1,025,011","5,091",can be a realization of a,"4,810",,conceptual display of annotation element on information carrier,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
256,"910,036",English,"193,259",ontology,"5,074",,e-mail address of a physical object,"1,025,089","5,091",can be a realization of a,"5,570",,conceptual e-mail address of a physical object,that indicates that electronic mail for the person or organization can be delivered at the place.,,,,,accepted,,2007-09-20,2007-09-20,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
290,"910,036",English,"193,259",ontology,"5,551",,employment of a person by an organisation,"1,025,125","5,091",can be a realization of a,"5,552",,conceptual employment of a person by an organisation,,,,,,accepted,,2011-02-08,2011-02-08,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
33,"910,036",English,"193,259",ontology,"1,281",,end point of period in time,"1,006,374","5,091",can be a realization of a,"1,809",,conceptual end point of period in time,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
127,"910,036",English,"193,259",ontology,"1,760",,expression of information by an aspect,"1,006,415","5,091",can be a realization of a,"1,798",,conceptual expression of information by aspect,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
35,"910,036",English,"193,259",ontology,"1,293",,expression of information by an encoding aspect,"1,006,375","5,091",can be a realization of a,"1,913",,conceptual expression of information by encoding aspect,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
12,"910,036",English,"193,012",information management,"1,049",,facts about concepts,"1,025,117","1,225",is classified as a,"970,178",,collection of facts,each of which is a fact about a concept.,is a collection of facts each of which is a fact about a concept.,,,,accepted,,2008-08-12,2008-08-12,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
8,"910,036",English,"193,012",information management,"1,045",,facts about conceptual relations,"1,025,066","1,225",is classified as a,"970,178",,collection of facts,each of which is a fact about one or more information technology items.,is a collection of facts each of which is a fact about one or more information technology items.,,,,accepted,,2005-04-21,2005-04-21,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
9,"910,036",English,"193,012",information management,"1,046",,facts about conceptual relations between classes,"1,025,114","1,225",is classified as a,"970,178",,collection of facts,each of which is a fact about a kind of relation that is a classifier for relations between classes.,is a collection of facts each of which is a fact about a kind of relation that is a classifier for relations between classes.,,,,accepted,,2008-08-12,2008-08-12,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
10,"910,036",English,"193,012",information management,"1,047",,facts about conceptual relations between individual things,"1,025,115","1,225",is classified as a,"970,178",,collection of facts,each of which is a fact about a kind of relation that is a classifier for relations between individual things.,is a collection of facts each of which is a fact about a kind of relation that is a classifier for relations between individual things.,,,,accepted,,2008-08-12,2008-08-12,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
11,"910,036",English,"193,012",information management,"1,048",,facts about conceptual relations between individual things and classes,"1,025,116","1,225",is classified as a,"970,178",,collection of facts,each of which is a fact about a kind of relation that is a classifier for relations between individual things and classes.,is a collection of facts each of which is a fact about a kind of relation that is a classifier for relations between individual things and classes.,,,,accepted,,2008-08-12,2008-08-12,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
13,"910,036",English,"193,012",information management,"1,050",,facts about correlations,"1,025,118","1,225",is classified as a,"970,178",,collection of facts,each of which is a fact about a relation between aspects that expresses that the value of the aspects are correlated. Typically under the condition that the correlated aspects are possessed by the same object.,is a collection of facts each of which is a fact about a relation between aspects that expresses that the value of the aspects are correlated. Typically under the condition that the correlated aspects are possessed by the same object.,,,,accepted,,2008-08-12,2008-08-12,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
7,"910,036",English,"193,012",information management,"1,044",,facts about realization relations,"1,025,112","1,225",is classified as a,"970,178",,collection of facts,each of which is a fact about a kind of conceptual relation that can be realized by one or more specific relations with individual things.,is a collection of facts each of which is a fact about a kind of conceptual relation that can be realized by one or more specific relations with individual things.,,,,accepted,,2008-02-20,2008-02-20,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
14,"910,036",English,"193,012",information management,"1,051",,facts about roles in conceptual relations,"1,025,119","1,225",is classified as a,"970,178",,collection of facts,each of which is a fact about a role that is played by a concept in a kind of relation.,is a collection of facts each of which is a fact about a role that is played by a concept in a kind of relation.,,,,accepted,,2008-08-12,2008-08-12,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
258,"910,036",English,"193,259",ontology,"5,076",,fax address of a physical object,"1,025,099","5,091",can be a realization of a,"5,574",,conceptual fax address of a physical object,"that indicates that electronic signals, especially for printing on a facsimile machine, for the person or organization can be delivered at the place. The name of the place typically is a telephone number.",,,,,accepted,,2007-09-20,2007-09-20,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
146,"910,036",English,"193,259",ontology,"1,969",,fulfillment of a function by a physical object,"1,006,439","5,091",can be a realization of a,"1,314",,conceptual fulfillment of a function by a physical object,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
290,"910,036",English,"193,259",ontology,"5,765",,furnishing of a physical object,"1,025,143","5,091",can be a realization of a,"5,771",,conceptual furnishing of a physical object,,,,,,accepted,,2011-02-08,2011-02-08,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
302,"910,036",English,"191,745",modelling,"25,009",,Gellish expression,"1,025,111","1,146",is a specialization of,"911,619",,expression,"of a fact by means of a relation between two things, whereas the type of relation as well as the related objects are defined in the Gellish language. For example the expression: a lane can be a part of a road. In that expression the phrase 'can be a part of a' is the name of a relation type of the relation by which the concepts road and lane are related.","is an expression of a fact by means of a relation between two things, whereas the type of relation as well as the related objects are defined in the Gellish language. For example the expression: a lane can be a part of a road. In that expression the phrase 'can be a part of a' is the name of a relation type of the relation by which the concepts road and lane are related.",,,,accepted,,2007-10-02,2007-10-02,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
211,"910,036",English,"193,259",ontology,"4,887",,governing correlation,"1,025,016","5,091",can be a realization of a,"4,923",,conceptually governing correlation,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
301,"910,036",English,"191,745",modelling,"25,008",,hierarchy,"1,025,110","1,146",is a specialization of,"911,271",,structure,"in which each thing in the structure is subordinate to one or more other things without the occurrence of a circular subordination. In other words, none of the things in the structure is subordinate to itself or to something that is its subordinate.","is a structure in which each thing in the structure is subordinate to one or more other things without the occurrence of a circular subordination. In other words, none of the things in the structure is subordinate to itself or to something that is its subordinate.",,,,accepted,,2007-10-02,2007-10-02,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
281,"910,036",English,"193,259",ontology,"5,444",,inclusion of information,"1,025,006","5,091",can be a realization of a,"1,912",,conceptual inclusion of information,,,,,,accepted,,2005-10-11,2005-10-12,Andries van Renssen,Rob Moonen,"1,044",facts about realization relations,
31,"910,036",English,"193,259",ontology,"1,273",,information about an individual thing,"1,006,373","5,091",can be a realization of a,"1,911",,qualitative information about a concept,,,,,,accepted,,2002-02-28,2006-06-02,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
32,"910,036",English,"193,259",ontology,"1,273",,information about an individual thing,"1,790,888","5,091",can be a realization of a,"1,910",,conceptual information about objects of a specific kind,that indicates that members of the describer a subtype of information are information about members of the described class. ,,,,,accepted,,2003-09-12,2003-09-12,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
291,"910,036",English,"191,745",modelling,"25,001",,information model,"1,025,100","1,146",is a specialization of,"4,745",,network of relations,between concepts and/or individual things that express states of affairs (facts) or possible states of affairs.,is a network of relations between concepts and/or individual things that express states of affairs (facts) or possible states of affairs.,,,,accepted,,2007-10-02,2007-10-02,Andries van Renssen,Andries van Renssen,"970,267",facts about information,
41,"910,036",English,"193,259",ontology,"1,313",,installation of a physical object for imaginary physical object,"1,006,378","5,091",can be a realization of a,"1,903",,conceptual installation of a physical object for an imaginary physical object,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
290,"910,036",English,"193,259",ontology,"5,559",,installation of a physical object on another physical object,"1,025,126","5,091",can be a realization of a,"5,562",,conceptual installation of a physical object on another physical object,,,,,,accepted,,2011-02-08,2011-02-08,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
203,"910,036",English,"193,259",ontology,"4,805",,installed spare relation between physical objects,"1,025,063","5,091",can be a realization of a,"5,513",,conceptual requirement for installed spare relation between physical objects,,,,,,accepted,,2006-09-28,2006-09-28,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
186,"910,036",English,"193,259",ontology,"4,715",,intended role for an individual thing,"1,006,590","5,091",can be a realization of a,"4,717",,by definition being an intended role for an individual thing,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
