0,69,54,71,16,2,44,101,1,60,3,15,45,201,65,4,66,7,14,8,67,9,10,12,13,50,68,19,18,62,63,64,
18,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,004,422","4,714",can have a role as a,"2,765","0,1",represented,,,,,,accepted,,1999-03-11,2000-06-05,Andries van Renssen,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,,,,
19,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,006,105","4,714",can have a role as a,"4,684","0,1",described,,,,,,accepted,,2001-09-19,2001-09-19,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
20,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,006,107","4,714",can have a role as a,"4,687","0,1",defined,,,,,,accepted,,2001-09-19,2001-09-19,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
21,"910,036",English,"193,259",ontology,"730,000","1,n",anything,"1,006,236","4,714",can have a role as a,"4,729","0,1",relator,,,,,,accepted,,2001-10-20,2001-10-20,Andries van Renssen,Roel Murris,"1,045",facts about conceptual relations,,,,,,
22,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,006,596","4,714",can have a role as a,"4,781","0,1",uniqueness context for individual reference,,,,,,accepted,,1999-09-03,1999-09-03,Epistle modelling team,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
23,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,006,704","4,714",can have a role as a,"2,856","0,1",collected,,,,,,accepted,,1999-03-11,2001-10-09,Rob Moonen,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,,,,
24,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,006,755","4,714",can have a role as a,"4,819","0,1",application context,,,,,,accepted,,2002-06-07,2002-06-07,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
25,"910,036",English,"193,259",ontology,"730,000","1,n",anything,"1,007,422","4,714",can have a role as a,"4,824","0,1",related,,,,,,accepted,,2002-08-27,2002-08-27,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
26,"910,036",English,"193,259",ontology,"730,000","1,n",anything,"1,008,928","4,714",can have a role as a,"5,316","0,1",composing list items,,,,,,accepted,,2004-11-12,2004-11-12,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,,,,
27,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,004,439","4,714",can have a role as a,"4,551","0,1",something denoted by an alias term,,,,,,accepted,,2000-05-29,2010-02-24,Andries van Renssen,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,,,,
28,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,004,440","4,714",can have a role as a,"4,552","0,1",something denoted by a base term,,,,,,accepted,,2000-05-29,2010-02-24,Andries van Renssen,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,,,,
29,"910,036",English,"193,259",ontology,"4,990",,concept,"1,001,005","1,146",is a specialization of,"730,000",,anything,that is a commonality of things.,is an anything that is a commonality of things.,,,,accepted,,2000-06-23,2003-04-14,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,N,,,
30,"910,036",English,"193,259",ontology,"4,990",,universal,"1,007,775","1,981",is a synonym of,"4,990",,concept,,,,,,accepted,,2003-05-06,2003-05-06,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,,,,
31,"910,036",English,"193,259",ontology,"4,990","1,1",concept,"1,001,308","4,714",can have a role as a,"4,328","0,1",qualifier,,,,,,accepted,,1999-09-03,2004-11-12,Andries van Renssen,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
32,"910,036",English,"193,259",ontology,"4,990","1,1",concept,"1,001,949","4,714",can have a role as a,"4,329","0,1",nature,,,,,,accepted,,1999-09-03,2004-11-12,Andries van Renssen,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
33,"910,036",English,"193,259",ontology,"4,990","1,1",concept,"1,007,446","4,714",can have a role as a,"4,957","0,1",collected class,,,,,,accepted,,2003-02-21,2004-11-15,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
34,"910,036",English,"193,259",ontology,"4,990","1,1",concept,"1,008,426","4,714",can have a role as a,"4,894","1,1",related class,,,,,,accepted,,2003-12-18,2003-12-18,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
35,"910,036",English,"193,259",ontology,"4,990","1,1",concept,"1,001,215","4,714",can have a role as a,"3,822","0,1",classifier for an individual thing,,,,,,accepted,,1999-03-11,1999-03-31,ISO 10303-221 modelling team,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,,,,
36,"910,036",English,"193,259",ontology,"4,990","1,1",concept,"1,006,767","4,714",can have a role as a,"911,115","0,1",operand,,,,,mathematical space as well as properties and scales (relations) can have a role as operand.,accepted,,2001-05-19,2008-12-09,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
37,"910,036",English,"193,259",ontology,"4,990","1,1",concept,"1,006,079","4,714",can have a role as a,"4,680","0,1",correlated aspect,,,,,,accepted,,2001-09-19,2001-09-19,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
38,"910,036",English,"193,259",ontology,"4,990","1,1",concept,"1,026,499","4,714",can have a role as a,"4,888","0,n",correlating aspect,,,,,,accepted,,2008-12-09,2008-12-09,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
39,"910,036",English,"193,259",ontology,"2,845",,abstract object,"1,001,057","1,146",is a specialization of,"4,990",,concept,that is a product of a mind.,is a concept that is a product of a mind.,,,,accepted,,2001-03-15,2001-03-15,Roel Murris,Roel Murris,"1,049",facts about concepts,,,N,,,
40,"910,036",English,"193,259",ontology,"2,845",,abstract thing,"1,001,058","1,981",is a synonym of,"2,845",,abstract object,,,,,,accepted,,2001-03-15,2001-03-15,Roel Murris,Roel Murris,"1,049",facts about concepts,,,,,,
41,"910,036",English,"193,259",ontology,"2,845",,abstraction,"1,001,059","1,981",is a synonym of,"2,845",,abstract object,,,,,,accepted,,2001-03-15,2001-03-15,Roel Murris,Roel Murris,"1,049",facts about concepts,,,,,,
42,"910,036",English,"193,259",ontology,"2,845","1,1",abstract object,"1,001,198","4,714",can have a role as a,"3,816","0,1",classifier for a class,,,,,,accepted,,1999-03-11,2011-02-15,Andries van Renssen,ISO 10303-221 modelling team,"1,049",facts about concepts,,,,,,
43,"910,036",English,"193,259",ontology,"2,849",,plural object,"1,001,070","1,146",is a specialization of,"4,990",,concept,"which members have a plurality that is not by definition one. Typically the plurality of the members is bigger than one. It is a number of things. Those things may be individual things, classes, relations or combinations of them.","is a concept which members have a plurality that is not by definition one. Typically the plurality of the members is bigger than one. It is a number of things. Those things may be individual things, classes, relations or combinations of them.",,,,accepted,,2001-03-15,2003-02-05,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,N,,,
44,"910,036",English,"193,259",ontology,"2,849",,set,"1,001,071","1,981",is a synonym of,"2,849",,plural object,,,,,,accepted,,2001-03-15,2001-03-15,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,,,,
45,"910,036",English,"193,259",ontology,"2,849",,plural thing,"1,001,072","1,981",is a synonym of,"2,849",,plural object,,,,,,accepted,,2001-03-15,2001-03-15,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,,,,
46,"910,036",English,"193,259",ontology,"2,849",,collection,"1,008,976","1,981",is a synonym of,"2,849",,plural object,,,,,,accepted,,2005-02-14,2005-02-14,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,,,,
47,"910,036",English,"193,259",ontology,"2,849",,group,"1,026,627","1,981",is a synonym of,"2,849",,plural object,,,,,,accepted,,2009-10-19,2009-10-19,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,N,,,
48,"910,036",English,"193,259",ontology,"2,849","2,n",plural object,"1,006,262","4,714",can have a role as a,"4,749","0,n",united,,,,,,accepted,,2002-01-17,2002-01-17,Andries van Renssen,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
49,"910,036",English,"193,259",ontology,"2,849","1,1",plural object,"1,006,263","4,714",can have a role as a,"4,750","0,n",union,,,,,,accepted,,2002-01-17,2002-01-17,Andries van Renssen,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
50,"910,036",English,"193,259",ontology,"2,849","1,1",plural object,"1,006,705","4,714",can have a role as a,"4,807","0,1",collecting plurality,,,,,,accepted,,2002-01-17,2002-01-17,Andries van Renssen,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
51,"910,036",English,"193,259",ontology,"2,849","1,1",plural object,"1,008,925","4,714",can have a role as a,"5,253","0,n",difference collection,,,,,,accepted,,2004-11-12,2004-11-12,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,,,,
52,"910,036",English,"193,259",ontology,"2,849","1,1",plural object,"1,008,926","4,714",can have a role as a,"5,254","0,n",compared collections,,,,,,accepted,,2004-11-12,2004-11-12,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,,,,
53,"910,036",English,"193,259",ontology,"2,849","1,1",plural object,"1,008,927","4,714",can have a role as a,"5,315","0,n",composed list,,,,,,accepted,,2004-11-12,2004-11-12,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,,,,
54,"910,036",English,"193,259",ontology,"2,849","1,1",plural object,"1,026,263","4,714",can have a role as a,"5,624","0,1",collectively assembled,,,,,,accepted,,2008-01-22,2008-01-22,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
55,"910,036",English,"193,259",ontology,"2,852",,single object,"1,001,079","1,146",is a specialization of,"4,990",,concept,that has a count of one.,is a concept that has a count of one.,,,,accepted,,2001-03-15,2003-06-02,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,N,,,
56,"910,036",English,"193,259",ontology,"2,852",,single thing,"1,001,078","1,981",is a synonym of,"2,852",,single object,,,,,,accepted,,2001-03-15,2001-03-15,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,,,,
57,"910,036",English,"193,259",ontology,"730,067",,individual object,"1,001,431","1,146",is a specialization of,"4,990",,concept,that has a unique single or plural identity or existence in the world with a beginning and possibly an end. It can be imagined as a mental object or observable. It is not necessarily a physical object.,is a concept that has a unique single or plural identity or existence in the world with a beginning and possibly an end. It can be imagined as a mental object or observable. It is not necessarily a physical object.,,,,accepted,,1998-07-24,2003-01-31,Andries van Renssen,ISO 10303-221 modelling team,"1,049",facts about concepts,,,N,,,
58,"910,036",English,"193,259",ontology,"730,067",,individual thing,"1,007,838","1,981",is a synonym of,"730,067",,individual object,,,,,,accepted,,1999-07-26,2005-11-03,Fred Vonk,Andries van Renssen,"1,049",facts about concepts,,,,,,
59,"910,036",English,"193,259",ontology,"730,067",,phenomenon,"1,001,091","1,981",is a synonym of,"730,067",,individual object,,,,,,accepted,,2001-03-15,2002-01-21,Andries van Renssen,Roel Murris,"1,049",facts about concepts,,,,,,
60,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,001,918","4,714",can have a role as a,"4,174","0,1",about,,,,,,accepted,,1999-03-11,1999-04-13,ISO 10303-221 modelling team,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,,,,
61,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,001,423","4,714",can have a role as a,"3,821","0,1",classified individual thing,,,,,,accepted,,1999-03-11,1999-03-31,ISO 10303-221 modelling team,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,,,,
62,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,001,425","4,714",can have a role as a,"3,823","0,1",whole,,,,,,accepted,,1999-03-11,1999-03-31,ISO 10303-221 modelling team,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,,,,
63,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,001,426","4,714",can have a role as a,"3,824","0,1",part,,,,,,accepted,,1999-03-11,1999-03-31,ISO 10303-221 modelling team,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,,,,
64,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,001,429","4,714",can have a role as a,"4,290","0,1",possessor of an aspect,,,,,,accepted,,1999-09-03,1999-09-03,Epistle modelling team,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
65,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,001,430","4,714",can have a role as a,"4,292","0,1",whole for kind of part,,,,,,accepted,,1999-09-03,1999-09-03,Epistle modelling team,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
66,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,001,552","4,714",can have a role as a,"3,850","0,1",possessor of purpose,,,,,,accepted,,1999-03-11,2005-03-22,Andries van Renssen,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,,,,
67,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,001,628","4,714",can have a role as a,"4,330","0,1",possessor of time aspect,,,,,,accepted,,1999-09-03,2002-11-07,Andries van Renssen,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
68,"910,036",English,"193,259",ontology,"730,044","1,1",physical object,"1,001,647","4,714",can have a role as a,"3,826","0,1",assembled whole,,,,,,accepted,,1999-03-11,2012-08-15,ISO 10303-221 modelling team,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,,,,
69,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,004,423","4,714",can have a role as a,"2,764","0,1",representer,,,,,,accepted,,1999-03-11,2000-06-05,Rob Moonen,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,,,,
70,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,006,276","4,714",can have a role as a,"4,754","0,1",required complier,,,,,,accepted,,2002-01-17,2003-03-04,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
71,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,006,330","4,714",can have a role as a,"4,546","1,1",involved,,,,,,accepted,,2002-02-22,2004-05-13,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
72,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,006,992","4,714",can have a role as a,"4,821","0,1",related individual thing,,,,,,accepted,,2002-10-22,2002-10-22,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
73,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,006,993","4,714",can have a role as a,"4,823","0,1",individual relator,,,,,,accepted,,2002-10-22,2002-10-22,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
74,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,008,425","4,714",can have a role as a,"4,893","1,1",relating individual thing,,,,,,accepted,,2003-12-18,2003-12-18,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
75,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,008,958","4,714",can have a role as a,"5,327","1,1",collected individual thing,,,,,,accepted,,2004-12-14,2004-12-14,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
76,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,009,610","4,714",can have a role as a,"5,474","0,1",involved within a period,,,,,,accepted,,2005-12-01,2005-12-01,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
77,"910,036",English,"193,259",ontology,"730,067","1,1",individual object,"1,026,629","4,714",can have a role as a,"4,765",0.1,conceptually involved in an occurrence,,,,,,accepted,,2009-11-16,2009-11-16,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
78,"910,036",English,"193,259",ontology,"2,850",,relation,"1,001,074","1,146",is a specialization of,"2,852",,single object,"that indicates that a number of things have something to do with each other. It is an expression of a single fact. If one of the related things is a plurality, then the relation implies multiple facts.","is a single object that indicates that a number of things have something to do with each other. It is an expression of a single fact. If one of the related things is a plurality, then the relation implies multiple facts.",,,,accepted,,2001-03-15,2001-03-15,Roel Murris,Roel Murris,"1,049",facts about concepts,,,N,Y,Y,
79,"910,036",English,"193,259",ontology,"2,850",,relationship,"1,006,688","1,981",is a synonym of,"2,850",,relation,,,,,,accepted,,2002-05-29,2002-05-29,Andries van Renssen,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
80,"910,036",English,"193,259",ontology,"2,850","1,1",relation,"1,006,209","4,731",requires a role-1 as a,"4,729","1,1",relator,,,,,,accepted,,2001-10-18,2001-10-18,Roel Murris,Roel Murris,"1,045",facts about conceptual relations,,,,,,
81,"910,036",English,"193,259",ontology,"2,850","1,1",relation,"1,006,700","4,733",requires a role-2 as a,"4,824","1,n",related,,,,,,accepted,,2001-10-18,2001-10-18,Roel Murris,Roel Murris,"1,045",facts about conceptual relations,,,,,,
82,"910,036",English,"193,259",ontology,"2,850","1,1",relation,"1,006,754","4,714",can have a role as a,"4,820","0,1",applicable,,,,,,accepted,,2002-06-07,2002-06-07,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
83,"910,036",English,"193,259",ontology,"1,267",,denying relation,"1,001,374","1,146",is a specialization of,"2,850",,relation,"that indicates that the member relationships describe that which is not the case, in contrast to that which is the case.","is a relation that indicates that the member relationships describe that which is not the case, in contrast to that which is the case.",,,,accepted,,1998-07-24,2004-12-15,Andries van Renssen,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,N,,,
84,"910,036",English,"193,259",ontology,"1,268",,probabilistic relation,"1,001,375","1,146",is a specialization of,"2,850",,relation,"that indicates that the member relationships describe that which is possible, in contrast to that which is or which is not the case.","is a relation that indicates that the member relationships describe that which is possible, in contrast to that which is or which is not the case.",,,,accepted,,1998-07-24,2004-12-15,Andries van Renssen,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,N,,,
85,"910,036",English,"193,259",ontology,"4,718",,relation between kinds of things,"1,006,168","1,146",is a specialization of,"2,850",,relation,that specifies that things of a kind have a commonality of a particular kind with things of the related kind.,is a relation that specifies that things of a kind have a commonality of a particular kind with things of the related kind.,,,,accepted,,2001-10-01,2002-08-16,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,N,y,y,
86,"910,036",English,"193,259",ontology,"4,719",,relation between an individual thing and a kind of thing,"1,006,167","1,146",is a specialization of,"2,850",,relation,that indicates that the individual thing has something in common with members of the class.,is a relation that indicates that the individual thing has something in common with members of the class.,,,,accepted,,2001-10-01,2012-06-29,Andries van Renssen,Andries van Renssen,"1,048",facts about conceptual relations between individual things and classes,,,N,,,
87,"910,036",English,"193,259",ontology,"4,719",,relation between an individual thing and a kind of thing,"1,026,497","1,146",is a specialization of,"730,067",,individual object,that indicates that the individual thing has something in common with members of the class.,is an individual object that indicates that the individual thing has something in common with members of the class.,,,,accepted,,2008-12-09,2012-06-29,Andries van Renssen,Andries van Renssen,"1,048",facts about conceptual relations between individual things and classes,,,N,,,
88,"910,036",English,"193,259",ontology,"4,719","1,1",relation between an individual thing and a kind of thing,"1,007,013","4,731",requires a role-1 as a,"4,893","1,1",relating individual thing,,,,,,accepted,,2001-10-01,2002-08-16,Andries van Renssen,Andries van Renssen,"1,048",facts about conceptual relations between individual things and classes,,,,,,
89,"910,036",English,"193,259",ontology,"4,719","1,1",relation between an individual thing and a kind of thing,"1,007,014","4,733",requires a role-2 as a,"4,894","1,1",related class,,,,,,accepted,,2001-10-01,2002-08-16,Andries van Renssen,Andries van Renssen,"1,048",facts about conceptual relations between individual things and classes,,,,,,
90,"910,036",English,"492,015",Gellish English,"4,719",,is related to a,"1,008,710","1,981",is a synonym of,"4,719",,relation between an individual thing and a kind of thing,,,,,,accepted,,2004-05-07,2004-05-07,Andries van Renssen,Andries van Renssen,"1,048",facts about conceptual relations between individual things and classes,,,,,,
91,"910,036",English,"492,015",Gellish English,"4,719",,can be related with,"1,008,711","1,986",is an inverse of,"4,719",,relation between an individual thing and a kind of thing,,,,,,accepted,,2004-05-07,2004-05-07,Andries van Renssen,Andries van Renssen,"1,048",facts about conceptual relations between individual things and classes,,,,,,
94,"910,036",English,"191,697",mathematics,"4,748",,relation between collections,"1,006,283","1,146",is a specialization of,"2,850",,relation,that indicates that the two collections are different subdivisions of a total set of elements.,is a relation that indicates that the two collections are different subdivisions of a total set of elements.,,,,accepted,,2002-01-17,2002-01-17,Andries van Renssen,Epistle modelling team,"1,045",facts about conceptual relations,,,N,,,
95,"910,036",English,"193,259",ontology,"4,756",,plural relation,"1,008,965","1,146",is a specialization of,"2,850",,relation,that consists of elements each of which is a relation. It is an expression of a complex fact or of a plurality of facts.,is a relation that consists of elements each of which is a relation. It is an expression of a complex fact or of a plurality of facts.,,,,accepted,,2004-12-15,2004-12-15,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,N,,,
96,"910,036",English,"193,259",ontology,"4,756",,plural relation,"1,006,306","1,146",is a specialization of,"2,849",,plural object,that consists of elements each of which is a relation. It is an expression of a complex fact or of a plurality of facts.,is a plural object that consists of elements each of which is a relation. It is an expression of a complex fact or of a plurality of facts.,,,,accepted,,2002-02-06,2002-02-06,Andries van Renssen,Andries van Renssen,"1,049",facts about concepts,,,N,,,
97,"910,036",English,"193,259",ontology,"4,756",,relations,"1,006,304","1,981",is a synonym of,"4,756",,plural relation,,,,,,accepted,,2002-02-06,2002-02-06,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
98,"910,036",English,"193,259",ontology,"4,756",,set of relations,"1,006,303","1,981",is a synonym of,"4,756",,plural relation,,,,,,accepted,,2002-02-06,2002-02-06,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
99,"910,036",English,"193,259",ontology,"4,756",,collection of relations,"1,006,302","1,981",is a synonym of,"4,756",,plural relation,,,,,,accepted,,2002-02-06,2002-02-06,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
100,"910,036",English,"193,259",ontology,"5,230",,close relation,"1,008,571","1,146",is a specialization of,"2,850",,relation,that indicates that the related things are closely related.,is a relation that indicates that the related things are closely related.,,,,accepted,,2001-03-15,2001-03-15,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,Y,,,
101,"910,036",English,"492,015",Gellish English,"5,230",,is closely related to,"1,008,572","1,981",is a synonym of,"5,230",,close relation,,,,,,accepted,,2004-02-10,2004-02-10,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
102,"910,036",English,"492,015",Gellish English,"5,230",,is closely related with,"1,008,573","1,986",is an inverse of,"5,230",,close relation,,,,,,accepted,,2004-02-10,2004-02-10,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
105,"910,036",English,"193,259",ontology,"5,231",,loose relation,"1,008,576","1,146",is a specialization of,"2,850",,relation,that indicates that the related things are loosely related.,is a relation that indicates that the related things are loosely related.,,,,accepted,,2001-03-15,2001-03-15,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,Y,,,
106,"910,036",English,"492,015",Gellish English,"5,231",,is loosely related to,"1,008,577","1,981",is a synonym of,"5,231",,loose relation,,,,,,accepted,,2004-02-10,2004-02-10,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
107,"910,036",English,"492,015",Gellish English,"5,231",,is loosely related with,"1,008,578","1,986",is an inverse of,"5,231",,loose relation,,,,,,accepted,,2004-02-10,2004-02-10,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
110,"910,036",English,"193,259",ontology,"5,322",,relation between a single thing and a plurality,"1,008,949","1,146",is a specialization of,"2,850",,relation,that indicates that an element is related in some way to the elements in a plurality.,is a relation that indicates that an element is related in some way to the elements in a plurality.,,,,accepted,,2004-12-14,2004-12-14,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,N,Y,,
111,"910,036",English,"193,259",ontology,"5,322","1,1",relation between a single thing and a plurality,"1,008,950","4,731",requires a role-1 as a,"5,323","1,1",single relator,,,,,,accepted,,2004-12-14,2004-12-14,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,,,,,,
